,age_ma,Feature,Ti,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,Hf,U,Th
600,232.0,0.0,20.6,0.03,6.89,0.7250000000000001,7.741250000000001,12.561250000000001,0.81,53.3,10.2,74.8,16.0,45.9,5.68,45.6,5.55,525.0,11124.0,336.0,279.0
601,230.0,0.0,18.5,0.02,2.98,0.11,2.12,5.14,0.49,19.7,4.25,36.2,8.41,26.5,3.97,34.1,4.15,287.0,10964.0,260.0,89.6
602,228.0,0.0,14.4,0.05,3.6,0.14,3.23,4.93,0.42,17.9,4.45,40.7,11.2,42.1,7.26,69.9,10.9,366.0,11322.0,264.0,111.0
603,214.0,0.0,19.2,0.05,3.75,0.23,2.63,5.08,0.43,21.3,4.81,40.9,10.5,34.2,5.26,44.5,5.93,355.0,10670.0,297.0,145.0
604,242.0,0.0,16.1,0.03,5.0,0.17,4.25,10.3,0.49,34.8,7.07,54.8,12.9,41.4,6.31,53.0,7.58,425.0,11563.0,338.0,230.0
605,223.0,0.0,3.82,0.04,2.91,0.02,0.16,1.48,0.11,10.3,3.24,42.0,14.9,72.1,14.9,157.0,26.8,495.0,15031.0,1045.0,200.0
606,221.0,0.0,20.7,0.01,3.51,0.14,2.54,4.6,0.52,18.5,4.49,41.3,11.0,38.8,6.44,52.6,7.96,360.0,10410.0,260.0,122.0
607,411.0,0.0,5.11,0.01,1.35,0.04,0.53,1.64,0.08,16.1,6.32,80.7,28.4,133.0,27.1,288.0,49.1,961.0,12150.0,243.0,63.4
608,419.0,0.0,13.1,0.03,3.58,0.28,4.86,10.7,0.56,62.6,19.9,252.0,88.1,383.0,74.3,753.0,120.0,2804.0387500000006,10429.0,426.0,266.0
609,481.0,0.0,5.18,0.4,1.2,0.02,0.54,2.43,0.12,17.8,5.82,51.8,12.0,40.6,6.69,60.7,9.45,418.0,13174.0,353.0,31.9
610,330.0,0.0,13.4,0.17,1.61,0.06,1.67,3.63,0.16,17.5,3.91,27.6,6.01,17.5,2.7,20.6,2.66,209.0,12463.0,221.0,68.4
